name,y_pred,y_obs,y
brandi_meyer,0.00013734355397437113,,0
christian_jackson,0.00013556819259646083,,0
tara_bonilla,0.00013366863205700592,,0
kimberly_thomas,0.00013068358121953082,,0
brett_bowen,0.00012911545204837493,,0
justin_zimmerman,0.0001275347714372662,,0
jennifer_torres,0.0001270003010069303,,0
laura_vasquez,0.00012639902031731434,,0
meredith_rios,0.00011835694205528077,,1
meghan_johnson,0.00011772554249164597,,0
debra_mendoza,0.00011713937747761631,,0
carolyn_barnes,0.00011594202898456492,,0
shaun_hubbard,0.00011362345187906203,,0
bryan_george,0.00011285685555266079,,0
christine_young,0.00011266895804948848,,0
jason_haynes,0.00011159469075920349,,0
david_sharp,0.00011016253466201543,,0
cody_berry,0.00010916646354710225,,0
jennifer_li,0.00010894305435500752,,0
james_church,0.00010816940968946115,,1
troy_brown_dds,0.00010301136558733652,,0
jonathan_daniels,9.860930502134456e-05,,0
melanie_hughes,9.614453532537438e-05,,0
sierra_montoya,9.334454177057096e-05,,1
kevin_robinson,8.83496529432201e-05,,0
lynn_mccarthy,8.720846609426886e-05,,0
antonio_cooper,8.584427019947622e-05,,0
leslie_daugherty,8.570693940519385e-05,,0
michael_walker,8.116075526794243e-05,,0
rebecca_doyle,7.934699477784713e-05,,0
breanna_diaz,7.895756557858613e-05,,0
cynthia_smith,7.460838599277404e-05,,0
ernest_walker,7.107385644556284e-05,,0
meghan_carter,7.04373947320485e-05,,0
tammy_brown_md,6.851822497792596e-05,,0
rachel_branch,6.75438061799895e-05,,0
kimberly_russell,6.689023443986417e-05,,1
jay_walsh,6.555513288590949e-05,,0
stephanie_park,6.068877854490485e-05,,0
jennifer_cunningham,5.9275233856221766e-05,,0
tracy_bradshaw,5.9164920792663625e-05,,0
alex_perez,5.786701442788136e-05,,0
carol_bush,5.5420397182302673e-05,,0
lisa_russell,5.4629877085789e-05,,0
matthew_cohen,5.3328201326981814e-05,,1
diana_lee,5.287328401262901e-05,,0
allison_cummings,5.113381419321073e-05,,0
dominique_shaffer,5.021253019007456e-05,,1
jamie_riley,4.994755506715995e-05,,0
tony_johnson,4.89386565294108e-05,,0
james_romero,4.536213774148075e-05,,0
brian_cortez,4.464086517564705e-05,,0
ronald_stewart,4.4640864252391264e-05,,0
russell_sutton,4.456168874284883e-05,,0
cody_johnson,4.198781310397008e-05,,0
nathaniel_hood,3.9558689989761185e-05,,1
matthew_barnes,3.873815461859965e-05,,0
john_rogers,3.549414108385317e-05,,0
david_ruiz,3.476124501743324e-05,,0
nancy_sanchez,3.4431889335397754e-05,,0
michael_romero,3.417689815634337e-05,,0
mark_west,3.246649338468214e-05,,0
jorge_reynolds,3.1249007903956554e-05,,0
sarah_lopez,3.1071435074503525e-05,,0
bryce_cain,2.958367178978089e-05,,0
connie_fisher,2.9547628682035176e-05,,0
micheal_sims,2.883089380632415e-05,,0
maria_bullock,2.7471706724029285e-05,,0
jeffery_clark,2.6223088555370166e-05,,0
dustin_joseph,2.5922527447990984e-05,,0
christopher_watts,2.5824710775047447e-05,,0
wesley_molina,2.2550502600131302e-05,,0
joseph_martin_dvm,2.2301151367905578e-05,,0
jordan_alvarez,2.2136464015618358e-05,,0
michael_rojas,2.203808068446965e-05,,0
courtney_rangel,2.113227070880155e-05,,0
stephanie_davis,2.0603502596653178e-05,,0
selena_navarro,2.034960623185992e-05,,0
michael_gomez,1.9866102469354507e-05,,0
henry_poole,1.949936862399756e-05,,0
tammy_lopez,1.8310187396680787e-05,,0
kevin_harper,1.782163568459233e-05,,0
michelle_owens,1.7658768184584163e-05,,0
phillip_hicks,1.7489938091874598e-05,,0
sarah_johnson,1.7170647965095364e-05,,0
kevin_johnson,1.5774991528654807e-05,,0
kenneth_williams,1.5653617345350673e-05,,0
miguel_allen,1.5411348015353604e-05,,0
jessica_bryant,1.532146883730444e-05,,0
casey_wilson,1.5109498601127703e-05,,0
zachary_beasley,1.5025910262451395e-05,,0
randy_wheeler,1.502372708952506e-05,,0
ronald_lopez,1.3907773358471587e-05,,0
teresa_cardenas,1.3412479125826304e-05,,0
alexa_ewing,1.3111671716229496e-05,,0
eric_stone,1.29894424962136e-05,,0
megan_james,1.2327272376629536e-05,,0
jacqueline_middleton,1.1950406950901163e-05,,0
ronald_ward,1.1926098335527706e-05,,0
jared_carter,1.1058884775923288e-05,,1
alexander_wells,1.083615242440309e-05,,0
jennifer_morales,1.0733087232224393e-05,,0
nathaniel_henry,1.04122197637287e-05,,0
carrie_martin,1.0293803054285711e-05,,0
sheila_medina,1.0085965965867693e-05,,0
alicia_washington,9.842736221252914e-06,,0
crystal_smith,9.157429979240566e-06,,0
harold_jackson,8.8884938447825e-06,,0
brittany_baldwin,8.864816883500823e-06,,0
stephanie_bell,8.816444094935774e-06,,0
jason_ayers,8.522654079844298e-06,,0
lee_bass,8.433705989904761e-06,,0
james_martin,8.196094812195371e-06,,0
tony_warren,7.263635255814926e-06,,0
adrian_pineda,6.94320849065455e-06,,0
kimberly_anderson,6.904986825845297e-06,,0
jonathan_martin,6.90373421588079e-06,,0
melissa_osborne,6.8898891410944715e-06,,0
amber_wright,6.410215200943824e-06,,0
rebecca_neal,6.377511509873568e-06,,0
debra_aguilar,6.2450351566658725e-06,,0
douglas_luna,6.226113776197775e-06,,0
corey_burns,6.2210534251838175e-06,,0
mary_sims,6.050098982154327e-06,,0
joseph_blair,5.7231758987424245e-06,,0
lindsay_moore,4.757899498869965e-06,,1
mr._joseph_elliott,4.444677005922685e-06,,0
sean_romero,4.316957745859588e-06,,0
joseph_fuentes,4.27210777880206e-06,,0
derek_fox,4.087585049879233e-06,,0
susan_davis_phd,3.713453163920183e-06,,0
michael_jordan,3.612193941095623e-06,,0
alexander_munoz,3.4960730318890695e-06,,0
melinda_waller,3.4450239481882583e-06,,0
alicia_walker,3.4224067367566544e-06,,1
pamela_howard,3.163333340354605e-06,,0
marc_key,3.1069074289582735e-06,,1
christopher_powell,3.000635847936717e-06,,0
jeffery_knight,2.964621468469365e-06,,0
chad_foster,2.95252591741893e-06,,0
christopher_lewis,2.9052604719433328e-06,,0
brian_hamilton,2.904057439454698e-06,,0
ivan_kramer,2.7962545399980955e-06,,0
james_turner,2.781030256553388e-06,,0
michael_camacho,2.6412072827921416e-06,,0
jimmy_moore,2.5850521395943526e-06,,0
jessica_simon,2.5031554923836216e-06,,0
kimberly_smith,2.4470426058848253e-06,,0
shelley_wells,2.428285141985672e-06,,0
tina_fields,2.428121543202517e-06,,0
leah_brooks,2.366467162532878e-06,,0
donald_thomas,2.339431156806076e-06,,0
jennifer_singh,2.2806287175591444e-06,,0
stephanie_martin,2.225782104206888e-06,,0
felicia_walker,2.1647749585037915e-06,,0
megan_coleman,2.075335126269172e-06,,0
grace_roberts,2.0590410775207626e-06,,0
gloria_murray_dvm,1.8826192191626862e-06,,0
jeremy_parks,1.8374900314810505e-06,,0
richard_mendoza,1.7420105794721588e-06,,0
hannah_miller,1.7384926958891964e-06,,0
lisa_johnson,1.5372840231206603e-06,,0
elaine_becker,1.502349372204289e-06,,0
carmen_lopez,1.447160044064579e-06,,0
jennifer_summers,1.398148404022938e-06,,0
veronica_gibson,1.364090734888649e-06,,0
danielle_duncan,1.3451255893790725e-06,,1
richard_morales,1.1624544298467586e-06,,0
miguel_barrett,1.153703098455534e-06,,0
makayla_mitchell,1.1443985069769236e-06,,0
jennifer_carney,1.074771299246445e-06,,0
claudia_moore,1.0683513554320049e-06,,0
kenneth_lewis,9.840623126266262e-07,,0
rodney_walker,9.344559035365112e-07,,0
debra_miller,8.625257628872999e-07,,0
aaron_powell,8.47724006009324e-07,,1
patricia_baker,8.301195204547033e-07,,0
james_hernandez,8.17349686063939e-07,,0
gina_roberts,7.880917180293201e-07,,0
cassandra_hernandez,7.848033338222566e-07,,0
christopher_benjamin,7.826035277823969e-07,,0
joshua_smith,7.375071284085071e-07,,0
anthony_martin,7.354391594015431e-07,,0
amanda_quinn,6.491864333895103e-07,,0
ryan_gross,6.456607387799522e-07,,0
christopher_montgomery,6.243760787962432e-07,,0
emily_jones,5.679142866486732e-07,,0
james_carter,5.668933179885579e-07,,0
bryan_carpenter,5.485276163959223e-07,,0
chris_martin,5.267598439425449e-07,,0
aaron_pope,4.995062685586793e-07,,0
erika_hill,4.876318435339324e-07,,0
shelby_woods,4.584403353918585e-07,,0
miguel_reynolds,4.5151109473393573e-07,,0
regina_bowman,4.297061090386493e-07,,0
hannah_mitchell,4.058437348535112e-07,,0
jeffrey_thornton,3.973674595866562e-07,,0
leslie_moore,3.8135205424523504e-07,,0
daniel_morris,3.471885498134123e-07,,0
